facebook/react 91 : [(36, 0.4216991845020051), (66, 0.4152621440706912)]
facebook/react 109 : [(105, 0.5338869699691247), (59, 0.5245954417164533), (81, 0.5084202882463102), (107, 0.46770876020412416), (97, 0.4639605616499354), (57, 0.42599684030944235), (103, 0.4221724551414811), (72, 0.40828167951988076)]
facebook/react 141 : [(85, 0.49725006878396244), (112, 0.42599684030944235)]
facebook/react 338 : [(320, 0.5355520653480748), (270, 0.47419809876922203), (201, 0.4448992720356254), (230, 0.42859474633282146), (225, 0.4253632037889605), (324, 0.42308057309421115), (274, 0.42308057309421115), (321, 0.4224480818686823), (236, 0.4212020769917457)]
facebook/react 644 : [(243, 0.510920647268716), (320, 0.495268994569105), (141, 0.49278775251413726), (462, 0.49184705094147935), (443, 0.49105006690439157), (585, 0.4876396303863844), (357, 0.48367111649289246), (479, 0.4746591349180313), (477, 0.47153865074633794), (464, 0.4674784478514232), (73, 0.4605660713058554), (435, 0.45801880964127784), (637, 0.4569543002321836), (620, 0.45567798922900127), (627, 0.45488714862031354), (500, 0.45488714862031354), (433, 0.45488714862031354), (282, 0.45488714862031354), (501, 0.4546070164674279), (246, 0.4521312058844746), (263, 0.45051982754048414), (270, 0.4448992720356254)]
facebook/react 1223 : [(1183, 0.5512549588533474), (1198, 0.5261290250274417), (357, 0.5035068911495253), (1208, 0.4978980058084388), (435, 0.492139947434214), (197, 0.49156468290954475), (1215, 0.49105006690439157), (1032, 0.4847224857359863), (912, 0.48090367161858116), (621, 0.47419809876922203), (993, 0.4712147177944231), (1195, 0.4696144999245881), (877, 0.4644657078566315), (1197, 0.46406890316025834), (433, 0.46159113881005415), (141, 0.46106388539652), (919, 0.4594232128245508), (870, 0.4578046179399411), (1127, 0.45552990101112784), (948, 0.45341457437055366), (888, 0.4521312058844746), (991, 0.4483916021483688), (202, 0.4448992720356254), (989, 0.44489735016517107), (420, 0.44489735016517107), (947, 0.43404843779965746), (913, 0.43404843779965746), (582, 0.43404843779965746), (760, 0.4327193299355015), (1217, 0.43131885050654717)]
facebook/react 1318 : [(1237, 0.5210769252060605), (1293, 0.4905004015414717), (1294, 0.4826727629575079), (1256, 0.4826727629575079), (1310, 0.48017158742136906), (664, 0.48017158742136906), (479, 0.48017158742136906), (936, 0.4789402883032423), (1305, 0.47721654935340446), (992, 0.47704777183388636), (962, 0.4746591349180313), (912, 0.4746591349180313), (620, 0.4746591349180313), (477, 0.4746591349180313), (282, 0.4746591349180313), (464, 0.47298258897413015), (1127, 0.47153865074633794), (347, 0.4714073080247688), (888, 0.4704202162713136), (357, 0.4704202162713136), (994, 0.4674784478514232), (443, 0.4674784478514232), (433, 0.4674784478514232), (831, 0.451535532176838), (306, 0.4496945424768546), (873, 0.4448992720356254), (230, 0.4448992720356254), (201, 0.4448992720356254), (870, 0.4425120346889354), (711, 0.4425120346889354)]
facebook/react 1339 : [(938, 0.5322224091923555), (1032, 0.5282531413539355), (1264, 0.526184879277782), (1183, 0.5128687029700459), (830, 0.5125020995458399), (868, 0.5055073829744802), (735, 0.4967690283232508), (1306, 0.4949951011543107), (443, 0.49447028190484077), (1223, 0.4887186896705396), (689, 0.4856865246830418), (1309, 0.47188710076724616), (933, 0.46010673493518117), (333, 0.45915096271282385), (1249, 0.4584990828268374), (489, 0.45488714862031354), (1327, 0.45362061299672746), (1195, 0.45362061299672746), (459, 0.45185136409734505), (1224, 0.45178486428004644), (667, 0.45086599693536794), (1325, 0.4477506389677617), (1240, 0.4474712940299939), (970, 0.4474712940299939), (435, 0.4439784414159558), (1172, 0.44299636776241974), (1072, 0.44299636776241974), (1206, 0.43404843779965746), (866, 0.43404843779965746), (582, 0.43404843779965746)]
facebook/react 1464 : [(1446, 0.49498657563573556), (936, 0.4544287047578216), (63, 0.4541486197167351), (723, 0.45168339916676997), (1221, 0.4442573590717418), (1032, 0.4241149146695607), (1435, 0.4224480818686823), (402, 0.4224480818686823), (1195, 0.42183341327981483), (1256, 0.4212020769917457), (168, 0.4212020769917457), (1268, 0.407655679262184), (382, 0.40199735541014003), (1434, 0.37828043065956024)]
facebook/react 1645 : [(1339, 0.5438827679304172), (1557, 0.5354401264900486), (1009, 0.5047573750418695), (1548, 0.49072111232602994), (689, 0.4856865246830418), (938, 0.4715599426649792), (1539, 0.4675772209986053), (1223, 0.46662372301845245), (333, 0.46610886108337246), (868, 0.46586253174629116), (830, 0.46061631429915084), (760, 0.4594232128245508), (1526, 0.45877959585478667), (1437, 0.4541486197167351), (735, 0.45362061299672746), (1389, 0.45316238444583307), (1335, 0.45316238444583307), (877, 0.45316238444583307), (1072, 0.45168339916676997), (1264, 0.4499131058725864), (1327, 0.4477506389677617), (913, 0.4448992720356254), (464, 0.4448992720356254), (1240, 0.44489735016517107), (1590, 0.4442573590717418), (1525, 0.4439784414159558), (1221, 0.4439784414159558), (1249, 0.44299636776241974), (1244, 0.44299636776241974), (1172, 0.44299636776241974)]
facebook/react 1882 : [(1821, 0.5659244055819949), (1799, 0.4714073080247688), (891, 0.4594232128245508), (943, 0.4498760991519774), (926, 0.4448992720356254), (553, 0.4448992720356254), (403, 0.4448992720356254), (304, 0.44489735016517107), (286, 0.44489735016517107), (1347, 0.44299636776241974), (1822, 0.4419532359409386), (1271, 0.4419532359409386), (582, 0.4419532359409386), (1290, 0.4411961749924346), (1812, 0.43404843779965746), (1630, 0.43404843779965746), (1175, 0.43404843779965746), (604, 0.43404843779965746), (296, 0.43404843779965746), (35, 0.43404843779965746), (57, 0.4325708633228825), (849, 0.4309759104212895), (1867, 0.4309649440873212), (1793, 0.43068168624258535), (629, 0.43011106194537135), (1233, 0.42987542420092195), (1498, 0.4288757667227886), (1637, 0.42885923814484145), (1624, 0.42885923814484145), (1623, 0.42885923814484145)]
facebook/react 1965 : [(1809, 0.5386257815446602), (1542, 0.5217624417951175), (1570, 0.5089905755224531), (1550, 0.5058617225964573), (1543, 0.4980275515921479), (1922, 0.49772668669514575), (1934, 0.4972175327205207), (1294, 0.4967690283232508), (962, 0.495268994569105), (1446, 0.49076771452630746), (464, 0.48565401091243754), (1568, 0.47927354460526667), (993, 0.4746591349180313), (479, 0.4746591349180313), (477, 0.4746591349180313), (1598, 0.4715275075666726), (1293, 0.47033490722400756), (992, 0.4685539800176774), (889, 0.4685539800176774), (1601, 0.4645591050013058), (1237, 0.46159113881005415), (433, 0.4608827829791718), (888, 0.45904505734489254), (1434, 0.4575113185776856), (1127, 0.45632092363853693), (912, 0.45632092363853693), (620, 0.45567798922900127), (357, 0.45567798922900127), (1201, 0.45552990101112784), (1640, 0.45488714862031354)]
facebook/react 2000 : [(252, 0.45915096271282385), (1404, 0.4584990828268374), (926, 0.4448992720356254), (582, 0.4448992720356254), (553, 0.4448992720356254), (403, 0.4448992720356254), (1347, 0.4442573590717418), (1052, 0.4439784414159558), (1948, 0.4425120346889354), (1271, 0.4419532359409386), (930, 0.4419532359409386), (907, 0.4419532359409386), (1066, 0.43404843779965746), (409, 0.43131885050654717), (1565, 0.4309759104212895), (588, 0.4309649440873212), (1085, 0.4305072850099062), (660, 0.42599684030944235), (769, 0.4253632037889605), (428, 0.4253632037889605), (1301, 0.4250870749696575), (434, 0.4250870749696575), (1568, 0.4241149146695607), (562, 0.4241149146695607), (1941, 0.42308057309421115), (920, 0.4224480818686823), (629, 0.4224480818686823), (1761, 0.41960049093497503), (991, 0.41463294074147033), (1520, 0.4143587547878659)]
facebook/react 2028 : [(1985, 0.4856865246830418), (1984, 0.4856865246830418), (1981, 0.4856865246830418), (1961, 0.4856865246830418), (1859, 0.4856865246830418), (214, 0.4856865246830418), (993, 0.4826727629575079), (1972, 0.4818251651410417), (1822, 0.47857223451642256), (1175, 0.47857223451642256), (347, 0.46961792021587523), (831, 0.4639605616499354), (1052, 0.4448992720356254), (891, 0.4448992720356254), (873, 0.4448992720356254), (520, 0.4448992720356254), (320, 0.4448992720356254), (230, 0.4448992720356254), (225, 0.4448992720356254), (201, 0.4448992720356254), (2014, 0.4425120346889354), (1294, 0.4425120346889354), (926, 0.4425120346889354), (870, 0.4425120346889354), (321, 0.4425120346889354), (1958, 0.4419532359409386), (1956, 0.4419532359409386), (1820, 0.4419532359409386), (1674, 0.4419532359409386), (1637, 0.4419532359409386)]
facebook/react 2101 : [(1078, 0.5266889550825367), (1981, 0.48022054228796746), (1859, 0.48022054228796746), (891, 0.48022054228796746), (1984, 0.47857223451642256), (214, 0.47857223451642256), (1550, 0.4674784478514232), (1963, 0.4639605616499354), (1265, 0.4639605616499354), (1175, 0.4639605616499354), (243, 0.4639605616499354), (1822, 0.451535532176838), (873, 0.4448992720356254), (831, 0.4448992720356254), (347, 0.4448992720356254), (2014, 0.4419532359409386), (1674, 0.4419532359409386), (1637, 0.4419532359409386), (1424, 0.4419532359409386), (1294, 0.4419532359409386), (1052, 0.4419532359409386), (926, 0.4419532359409386), (870, 0.4419532359409386), (801, 0.4419532359409386), (711, 0.4419532359409386), (696, 0.4419532359409386), (520, 0.4419532359409386), (321, 0.4419532359409386), (320, 0.4419532359409386), (230, 0.4419532359409386)]
